project_id,project_type,state,district,land_area_hectares,affected_families,legal_disputes,pending_approvals,approval_delay_days,compensation_percentage,documentation_percentage,rehabilitation_percentage,possession_percentage,stakeholder_response_percentage,historical_performance_percentage,sia_to_preliminary_months,land_record_update_days,objection_disposal_days,acquisition_cost_deposit_months,preliminary_to_declaration_months,award_duration_months,rr_implementation_months,official_benchmark_breaches,current_stage,latitude,longitude,delay_days,delayed
LA00001,Irrigation,Rajasthan,Jodhpur,45.96,39,1,2,74,62.94,82.69,74.68,52.12,70.53,64.45,7.88,30,54,3.82,10.52,21.02,18.75,1,Possession,26.120662,73.11811,67,0
LA00002,Highway,Maharashtra,Pune,38.47,99,1,1,56,51.67,46.72,28.05,47.5,68.13,36.97,9.91,66,88,3.99,10.72,20.85,6.04,2,Compensation,18.52931,73.834186,52,0
LA00003,Highway,Punjab,Amritsar,154.04,186,3,1,91,59.76,67.57,53.97,58.52,76.41,76.02,8.3,58,63,3.67,16.13,7.54,13.61,2,Compensation,31.616742,74.940873,92,0
LA00004,Highway,Uttar Pradesh,Lucknow,19.18,52,1,1,74,24.38,39.94,21.78,51.64,45.92,45.19,7.76,59,112,6.43,14.25,12.39,8.3,3,Award,26.751832,81.058411,439,1
LA00005,Industrial Corridor,Tamil Nadu,Madurai,111.18,157,2,4,85,65.38,67.59,60.12,59.63,67.11,65.68,13.71,58,25,8.39,10.96,20.35,8.3,2,Possession,9.921112,78.259695,414,1
LA00006,Industrial Corridor,Madhya Pradesh,Indore,114.49,28,1,2,68,9.95,33.03,12.49,28.05,30.93,45.36,13.28,69,62,5.17,14.35,9.94,5.59,4,Preliminary Notification,22.689862,75.688398,580,1
LA00007,Metro,Andhra Pradesh,Vijayawada,32.24,24,1,1,43,63.3,62.47,60.25,60.22,78.85,87.3,3.07,58,25,5.24,6.68,18.11,19.34,1,Possession,16.540659,80.815645,96,0
LA00008,Airport,Karnataka,Belagavi,39.48,5,2,0,24,51.11,62.88,69.37,68.79,55.53,58.36,10.77,65,35,5.83,15.77,22.34,13.24,2,Possession,15.737366,74.575663,15,0
LA00009,Irrigation,Uttar Pradesh,Varanasi,50.31,71,2,0,69,31.53,70.66,39.61,51.67,54.96,47.46,5.59,50,90,5.25,11.71,21.84,14.83,1,Compensation,25.334878,82.933611,28,0
LA00010,Airport,Karnataka,Mysuru,305.26,189,3,1,46,60.7,72.24,51.88,57.04,51.24,74.01,7.45,13,148,3.92,7.0,22.32,14.38,1,Compensation,12.182666,76.601986,114,0
LA00011,Metro,Karnataka,Mysuru,54.68,74,3,1,59,73.5,91.04,66.39,57.57,78.46,67.61,14.35,62,49,5.35,11.08,7.99,12.23,2,Possession,12.41913,76.742906,426,1
LA00012,Airport,Rajasthan,Kota,44.59,40,0,2,168,46.38,64.01,74.03,77.64,59.92,75.51,15.34,38,26,6.53,11.27,25.18,16.85,2,Possession,25.095062,76.016206,390,1
LA00013,Railway,Tamil Nadu,Chennai,82.18,23,4,0,27,53.61,53.55,39.53,74.1,62.01,64.65,5.93,50,69,3.0,5.05,19.89,11.12,1,Compensation,13.101889,80.318105,110,0
LA00014,Metro,Karnataka,Belagavi,544.94,492,2,1,48,66.59,51.18,40.74,51.27,58.66,36.72,14.79,74,24,5.04,8.13,8.25,17.48,2,Compensation,15.897369,74.466992,374,1
LA00015,Highway,Andhra Pradesh,Visakhapatnam,184.07,131,1,1,29,53.52,71.24,43.99,73.91,68.16,70.06,7.09,58,53,4.96,13.47,18.68,4.47,1,Compensation,17.641956,83.201187,109,0
LA00016,Metro,Karnataka,Mysuru,148.83,198,3,0,96,39.63,45.85,39.7,39.12,46.96,50.85,13.76,56,29,1.99,7.02,27.9,11.13,1,Award,12.408359,76.651132,307,1
LA00017,Industrial Corridor,Gujarat,Vadodara,30.42,25,1,0,65,39.95,64.75,50.74,73.03,47.11,52.2,10.69,62,24,8.63,9.55,18.41,21.19,3,Compensation,22.373192,73.214611,356,1
LA00018,Metro,Telangana,Hyderabad,159.81,242,3,2,57,55.47,57.46,50.4,60.94,50.87,71.27,9.12,54,7,4.96,9.23,10.25,10.56,0,Compensation,17.204291,78.520248,443,1
LA00019,Airport,Uttar Pradesh,Kanpur Nagar,64.92,71,2,1,39,63.38,46.56,39.24,36.78,52.57,44.18,7.49,55,28,5.08,13.78,33.76,6.37,2,Compensation,26.589813,80.413812,352,1
LA00020,Industrial Corridor,Maharashtra,Nashik,276.36,347,4,1,106,53.0,59.84,94.05,64.17,80.06,94.33,11.62,55,53,7.29,5.61,16.3,13.18,1,Possession,19.977387,73.897075,436,1
LA00021,Irrigation,Punjab,Bathinda,132.56,55,3,1,62,65.96,52.92,31.55,31.22,50.6,39.98,10.69,64,65,2.78,9.4,22.71,19.21,3,Compensation,30.050376,74.868321,406,1
LA00022,Airport,Tamil Nadu,Madurai,172.41,165,0,0,47,68.54,54.33,31.34,63.43,54.66,39.95,6.38,85,39,6.96,16.2,14.13,10.47,3,Compensation,9.926619,78.109371,429,1
LA00023,Urban Development,Punjab,Ludhiana,118.13,71,4,1,71,29.96,28.07,6.74,39.17,22.1,31.21,13.64,54,64,4.07,11.91,23.72,13.76,2,Award,31.056734,75.891405,494,1
LA00024,Railway,Uttar Pradesh,Agra,330.88,191,1,4,73,69.81,84.0,58.75,79.63,74.28,76.57,11.17,46,104,6.21,13.27,20.72,16.56,3,Possession,27.119559,78.031528,409,1
LA00025,Airport,Rajasthan,Kota,140.65,57,2,1,63,51.54,64.75,42.73,56.87,43.44,66.96,6.39,92,48,6.92,10.27,18.55,16.48,2,Compensation,25.166989,75.936717,387,1
LA00026,Railway,Karnataka,Mysuru,48.3,79,0,0,29,47.65,65.96,55.54,70.38,69.17,57.88,7.39,48,34,5.42,10.86,25.39,4.0,0,Compensation,12.313351,76.618131,75,0
LA00027,Power,Maharashtra,Mumbai,98.36,52,0,2,80,43.6,68.76,38.33,56.5,55.09,71.28,7.57,54,68,5.65,10.11,16.14,15.56,1,Compensation,19.176409,72.983714,2,0
LA00028,Highway,Uttar Pradesh,Lucknow,205.15,277,2,0,49,44.31,69.06,61.78,56.17,65.1,70.31,7.33,15,36,2.86,8.8,14.92,14.8,0,Compensation,26.812891,80.981724,46,0
LA00029,Power,Karnataka,Bengaluru Urban,129.89,216,5,0,57,69.76,80.33,80.12,74.99,87.15,78.89,7.02,49,45,3.94,11.45,11.2,15.19,0,Possession,13.010832,77.468728,19,0
LA00030,Railway,Maharashtra,Nashik,28.27,6,3,1,82,24.24,15.5,5.0,23.23,22.65,22.02,6.55,33,65,6.08,3.47,18.42,14.88,2,Preliminary Notification,20.157321,73.673063,461,1
LA00031,Railway,Telangana,Hyderabad,183.35,284,3,0,44,56.15,53.36,38.26,51.79,51.99,42.72,10.07,81,110,5.05,13.28,10.96,20.3,4,Compensation,17.368714,78.595606,493,1
LA00032,Airport,Maharashtra,Pune,239.95,351,2,2,59,47.76,32.78,46.38,47.71,45.69,48.67,8.75,78,26,10.24,12.59,26.13,21.03,4,Compensation,18.431737,73.84621,418,1
LA00033,Metro,Punjab,Amritsar,425.0,419,2,0,36,32.3,27.97,5.0,21.84,23.76,38.47,6.97,60,59,8.29,12.01,17.5,18.74,3,Preliminary Notification,31.676818,74.867945,488,1
LA00034,Highway,Gujarat,Surat,203.25,150,0,2,66,48.99,28.64,50.59,46.91,54.39,40.23,13.45,29,98,7.74,6.17,15.04,14.54,3,Compensation,21.150715,72.837328,425,1
LA00035,Power,Maharashtra,Pune,145.51,132,5,1,69,63.37,61.81,46.95,39.84,64.89,84.16,7.88,61,41,5.81,8.99,26.79,8.59,1,Compensation,18.634834,73.796062,69,0
LA00036,Railway,Karnataka,Belagavi,38.12,54,1,2,71,9.04,33.17,5.54,32.75,28.73,27.3,9.08,46,11,3.47,6.92,20.34,8.62,0,Preliminary Notification,15.852093,74.568751,458,1
LA00037,Railway,Andhra Pradesh,Visakhapatnam,179.86,297,4,0,71,56.28,67.54,83.55,60.62,65.83,75.91,8.55,63,61,4.82,10.26,24.36,15.88,2,Possession,17.711424,83.281594,44,0
LA00038,Metro,Rajasthan,Jaipur,91.11,90,2,2,40,47.06,64.11,51.69,68.5,60.97,66.38,6.05,48,66,8.56,15.82,29.49,23.43,4,Compensation,26.994168,75.772594,451,1
LA00039,Railway,Telangana,Nalgonda,114.99,93,4,1,38,63.46,52.57,61.04,57.96,68.3,66.82,10.53,48,77,4.22,7.85,31.63,18.37,3,Possession,17.127034,79.215963,440,1
